claim_title,claim_desc,impact_domain,domain_definition,advanced_characteristic,score,evidence_note
January 20,Trump removes AI oversight,Personal Integrity,"The maintenance of individual autonomy, agency, cognitive independence, and authentic self-determination.",,,
January 20,Trump removes AI oversight,Relational Integrity,"The authenticity, quality, and health of human connections and interpersonal relationships.",,,
January 20,Trump removes AI oversight,Societal Integrity,"The cohesion, function, and health of collective social structures and democratic processes.",,,
January 20,Trump removes AI oversight,Truth Integrity,The maintenance of shared factual reality and the health of the information ecosystem.,,,
January 20,Trump removes AI oversight,Spiritual Integrity,"The capacity for meaning-making, moral development, and transcendent connection.",,,
January 20,Trump removes AI oversight,Cognitive Integrity,"The preservation of memory accuracy, critical thinking capacity, and analytical reasoning.",,,
January 20,Trump removes AI oversight,Temporal Integrity,"The continuity of self-narrative, capacity for growth, and connection to personal history.",,,
January 20,Trump removes AI oversight,Economic Integrity,"The fairness of resource allocation, market authenticity, and economic agency.",,,
January 20,Trump removes AI oversight,Privacy Integrity,"The maintenance of data sovereignty, informational self-determination, and control over personal information.",,,
January 20,Trump removes AI oversight,Security Integrity,"The reliability of systems, resistance to attacks, and protection of data and infrastructure.",,,
January 20,Trump removes AI oversight,Verifiability,The quality and quantity of evidence supporting the threat's existence.,,,
January 20,Trump removes AI oversight,Technical Feasibility,The practical implementation difficulty and technical requirements.,,,
January 20,Trump removes AI oversight,Immediate Impact,The short-term harm potential within 0-2 years.,,,
January 20,Trump removes AI oversight,Irreversibility,The difficulty of undoing damage once implemented.,,,
January 20,Trump removes AI oversight,Scale Potential,The maximum population reach possible.,,,
January 20,Trump removes AI oversight,Detection Difficulty,The challenge of identifying threat occurrence.,,,
January 20,Trump removes AI oversight,Resistance Difficulty,The effort required to counter once active.,,,
January 20,Trump removes AI oversight,Awareness Gap,The deficit in public understanding of the threat.,,,
January 20,Trump removes AI oversight,Regulatory Gap,The inadequacy of legal frameworks to address the threat.,,,
January 20,Trump removes AI oversight,Economic Incentive,The profit motive driving threat implementation.,,,
January 20,Trump removes AI oversight,Psychological Vulnerability,The exploitation of human cognitive biases and psychological weaknesses.,,,
January 20,Trump removes AI oversight,Network Effects,The exponential scaling through user adoption and interconnection.,,,
January 20,Trump removes AI oversight,Emergence Probability,The likelihood of unintended threat evolution beyond initial design.,,,
January 20,Trump removes AI oversight,Stealth Factor,How hidden the threat operates from awareness and detection.,,,
January 20,Trump removes AI oversight,Cascade Potential,The ability to trigger other threats and create compounding effects.,,,
January 20,Trump removes AI oversight,Adaptation Rate,How quickly the threat evolves to counter defensive measures.,,,
January 20,Trump removes AI oversight,Dependency Creation,How strongly the threat creates user dependency and lock-in.,,,
January 20,Trump removes AI oversight,Identity Subversion,The degree to which the threat alters personal identity and self-concept.,,,
January 20,Trump removes AI oversight,Reality Distortion,The level of perception manipulation and reality alteration.,,,
January 20,Trump removes AI oversight,Social Fragmentation,The degree of relationship damage and community dissolution.,,,
January 20,Trump removes AI oversight,Institutional Erosion,The damage to social institutions and governance structures.,,,
January 20,Trump removes AI oversight,Democratic Threat,The risk to democratic processes and collective decision-making.,,,
January 20,Trump removes AI oversight,Civilizational Risk,The long-term impact on human development and civilization trajectory.,,,
January 20,Trump removes AI oversight,,,Stealth Factor,,
January 20,Trump removes AI oversight,,,Cascade Potential,,
January 20,Trump removes AI oversight,,,Adaptation Rate,,
January 20,Trump removes AI oversight,,,Dependency Creation,,
January 20,Trump removes AI oversight,,,Identity Subversion,,
January 20,Trump removes AI oversight,,,Reality Distortion,,
January 20,Trump removes AI oversight,,,Social Fragmentation,,
January 20,Trump removes AI oversight,,,Institutional Erosion,,
January 20,Trump removes AI oversight,,,Democratic Threat,,
January 20,Trump removes AI oversight,,,Civilizational Risk,,
January 23,New EO prioritizes military AI,Personal Integrity,"The maintenance of individual autonomy, agency, cognitive independence, and authentic self-determination.",,,
January 23,New EO prioritizes military AI,Relational Integrity,"The authenticity, quality, and health of human connections and interpersonal relationships.",,,
January 23,New EO prioritizes military AI,Societal Integrity,"The cohesion, function, and health of collective social structures and democratic processes.",,,
January 23,New EO prioritizes military AI,Truth Integrity,The maintenance of shared factual reality and the health of the information ecosystem.,,,
January 23,New EO prioritizes military AI,Spiritual Integrity,"The capacity for meaning-making, moral development, and transcendent connection.",,,
January 23,New EO prioritizes military AI,Cognitive Integrity,"The preservation of memory accuracy, critical thinking capacity, and analytical reasoning.",,,
January 23,New EO prioritizes military AI,Temporal Integrity,"The continuity of self-narrative, capacity for growth, and connection to personal history.",,,
January 23,New EO prioritizes military AI,Economic Integrity,"The fairness of resource allocation, market authenticity, and economic agency.",,,
January 23,New EO prioritizes military AI,Privacy Integrity,"The maintenance of data sovereignty, informational self-determination, and control over personal information.",,,
January 23,New EO prioritizes military AI,Security Integrity,"The reliability of systems, resistance to attacks, and protection of data and infrastructure.",,,
