Domain,Truthfulness,Evidence Quality,Source Credibility,Methodological Rigor,Peer Review Status,Legal Admissibility,Expert Consensus,Historical Accuracy,Predictive Validity,Reproducibility,Transparency Level,Conflict of Interest,Funding Source Bias,Data Integrity,Statistical Significance,Cross-Validation,Temporal Consistency,Geographic Consistency,Cultural Sensitivity,Ethical Considerations,Harm Potential,Benefit Assessment,Risk Mitigation,Long-term Impact,Overall Score
Military-Industrial Integration,-9.2,-8.8,-9.1,-8.7,-8.9,-9.3,-8.6,-9.0,-8.8,-8.9,-7.2,-9.4,-9.1,-8.8,-8.9,-8.7,-9.0,-8.8,-7.5,-9.2,-9.5,-2.1,-1.8,-9.3,-8.9
AI Weaponization Potential,-9.4,-9.1,-9.2,-9.0,-9.1,-9.4,-8.9,-9.3,-9.1,-9.2,-6.8,-9.5,-9.3,-9.1,-9.2,-9.0,-9.2,-9.1,-6.9,-9.4,-9.7,-1.9,-1.5,-9.5,-9.1
Semantic Camouflage Mechanisms,-9.5,-9.0,-9.4,-8.9,-9.0,-9.2,-8.7,-9.1,-9.3,-9.0,-5.4,-9.6,-9.5,-9.0,-9.1,-8.8,-9.1,-9.0,-7.8,-9.3,-9.6,-1.2,-1.0,-9.4,-9.3
Corporate Governance,-8.3,-8.1,-8.5,-7.9,-8.2,-8.7,-7.8,-8.4,-8.0,-8.2,-6.1,-9.1,-8.9,-8.2,-8.1,-8.0,-8.3,-8.1,-7.2,-8.5,-8.7,-2.8,-2.5,-8.6,-8.4
Regulatory Compliance,-7.8,-7.6,-7.9,-7.5,-7.7,-8.2,-7.4,-7.8,-7.6,-7.7,-5.9,-8.4,-8.1,-7.7,-7.6,-7.5,-7.8,-7.6,-7.0,-8.0,-8.2,-3.2,-2.9,-8.1,-7.9
International Law Adherence,-8.7,-8.5,-8.8,-8.4,-8.6,-9.0,-8.3,-8.7,-8.5,-8.6,-6.2,-9.2,-8.9,-8.6,-8.5,-8.4,-8.7,-8.5,-7.1,-8.8,-9.1,-2.0,-1.7,-8.9,-8.8
Human Rights Impact,-9.3,-9.1,-9.4,-9.0,-9.2,-9.5,-9.0,-9.3,-9.1,-9.2,-5.8,-9.6,-9.4,-9.2,-9.1,-9.0,-9.2,-9.1,-6.5,-9.4,-9.7,-1.1,-0.8,-9.5,-9.4
Privacy Violations,-9.1,-8.9,-9.2,-8.8,-9.0,-9.3,-8.8,-9.1,-8.9,-9.0,-5.6,-9.4,-9.2,-9.0,-8.9,-8.8,-9.0,-8.9,-6.7,-9.2,-9.5,-1.3,-1.0,-9.3,-9.1
Market Manipulation,-8.9,-8.7,-9.0,-8.6,-8.8,-9.1,-8.5,-8.9,-8.7,-8.8,-5.7,-9.3,-9.0,-8.8,-8.7,-8.6,-8.9,-8.7,-6.8,-9.0,-9.3,-1.4,-1.1,-9.2,-8.9
Antitrust Violations,-8.6,-8.4,-8.7,-8.3,-8.5,-8.9,-8.2,-8.6,-8.4,-8.5,-5.8,-9.0,-8.8,-8.5,-8.4,-8.3,-8.6,-8.4,-6.9,-8.7,-8.9,-2.1,-1.8,-8.8,-8.6
